"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"333","GO",2012,178.4,108.1,39.1455696202532,52727.2,7696.1,8562.9,39.6
"334","MA",2012,66.3,40.1,NA,2071.96,1309.4,1685.9,0
"335","MG",2012,67.5,41.2,26.1992853149233,51208.03,7452.2,3374.8,80.7
"336","MS",2012,172.4,104.3,NA,36955.16,7820.7,5809,24
"337","MT",2012,1860.8,1129.5,5.90165493627544,16318.97,19893,23532.8,0
"338","PA",2012,0,0,16.3966617574865,695.32,565.6,552.2,0
"339","PB",2012,0,0,NA,5354.92,26.3,0,0
"340","PE",2012,0,0,NA,13575.92,15.8,0,0
"341","PI",2012,37.3,22.8,NA,828.11,542.8,916.9,0
"342","PR",2012,2.1,1.3,23.5199547464162,39723.5,17642.4,15912.4,2112.5
"343","RJ",2012,0,0,19.8260869565217,1893.75,13.3,0,0
"344","RN",2012,0.3,0.2,NA,2247.75,4.7,0,0
"345","RO",2012,0,0,10.877955230888,125.11,501.6,539.3,0
"346","RR",2012,0,0,NA,0,13,33.6,0
"347","RS",2012,0,0,NA,32.92,5383.5,12534.9,1894.8
"348","SC",2012,0,0,NA,0,3359.4,1578.5,141.6
"349","SE",2012,0,0,NA,2219.27,941.5,0,0
"350","SP",2012,21,12.7,30.5851990156278,330694.93,5150.8,2051.1,81.7
"351","TO",2012,18.9,11.6,NA,1800.23,447.8,1536.4,0
"352","AC",2013,0,0,NA,88.9,108.8,0,0
"353","AL",2013,0,0,NA,22454.64,27.5,0,0
"354","AM",2013,0,0,NA,268.36,28.9,0,0
"355","AP",2013,0,0,NA,0,2,0,0
"356","BA",2013,1236.1,752.8,13.4063285483503,3208.8,3182.3,3308,0
"357","CE",2013,1.4,0.9,NA,128.61,401.3,0,0
"358","DF",2013,0,0,NA,0,825.7,216,12.6
"359","ES",2013,0,0,25.811676490124,3769.98,60.5,0,0
